1:	1
530, 259, 260, 21, 249, 378, 253, 382, 239:	-324472.7185703986, -219361.9854943975, -357037.45438892744, 2610841.139088756, -474208.1848401218, -254228.58364746138, -261780.1125283878, -269495.65367341164, -450256.44594565
241, 594, 22, 209, 269, 590, 253:	-469912.93137187714, -88.67812876613101, 1548875.3542970463, -489498.98631900345, -391827.02731995657, -148.93987078540727, -197398.79128665736
513, 386, 245, 23, 250, 413, 271:	-142395.13471095465, -438406.4752719399, -1022052.9393631412, 3065703.034901689, -796308.4545685895, -101499.24336678768, -565040.7876202764
224, 248, 390, 257, 24, 525, 254:	-1242057.049675886, -378063.33803557395, -505905.2624383378, -130182.49226960719, 3101514.552145877, -225845.56638157956, -619460.8433448928
25:	1
26:	1
27:	1
28:	1
29:	1
30:	1
31:	1
32:	1
33:	1
34:	1
35:	1
36:	1
37:	1
38:	1
39:	1
40:	1
41:	1
42:	1
43:	1
184, 370, 267, 44, 183:	-94.2460917049847, -182.33138649444953, -23.196327799902065, 378.67525541447844, -78.9014494151421
256, 185, 186, 451, 45:	-137078.0535280604, -235831.63904726758, -274266.21235207125, -873404.7865967501, 1520580.6915241494
188, 458, 187, 348, 46:	-44.31606850103242, -151.7956883578771, -44.540122611641934, -108.66775757440229, 349.3196370449537
189, 375, 188, 349, 47:	-44.659711746075494, -150.65489797928814, -43.66258909174592, -110.77394433750875, 349.7511431546183
48, 560, 258, 469, 407, 192, 191:	1518567.5991597155, -167.07866874168363, -46.63160401019061, -113629.79541249548, -630353.9601801282, -303148.53937965183, -471221.5939146883
272, 49, 194, 356, 519, 536, 345, 193:	-71.8268261216434, 1401969.115638404, -207528.12887063826, -126.86648589568922, -359401.7813569393, -171115.63041966484, -257135.71529491438, -406589.1663842299
353, 50, 195, 196, 326, 321, 318:	-557410.8331853703, 1408308.7027836824, -118379.17628316453, -181052.6514571944, -551222.7169630113, -185.08111444170942, -58.243780500336406
322, 51, 196, 197, 327, 408, 303:	-62.96810913493607, 1451802.2730859697, -156261.3481779925, -154975.63685303245, -365223.78907609935, -775134.9397475685, -143.5911221420329
339, 52, 251, 520, 569, 346, 491, 199, 495:	-33.10984444288229, 1449122.9777429872, -470671.247055419, -106684.8784494434, -428114.1347173045, -255985.55006206417, -56.71382469997147, -187498.4174586952, -78.92633091810104
496, 306, 53, 199, 200, 570, 426:	-111.81574822084433, -77.09722903763804, 1406250.186687408, -204270.8525550672, -367038.4425225545, -354697.8089650936, -480054.1696674344
480, 307, 54, 200, 201, 586, 427, 255:	-74.92989149713294, -112.66438974148906, 1529728.3284305164, -424213.7953289488, -512193.0358045104, -131237.43979518287, -291311.61298784625, -170584.85023278926
203, 262, 55, 264, 202, 587, 255:	-288956.216254581, -164.2002348660865, 1483761.9426251515, -36.99885956488892, -197237.99554566343, -799318.8197597726, -198047.71197070362
256, 452, 342, 56, 459, 204, 205:	-156339.7410920936, -158573.47555875644, -242225.62443338623, 1582799.5905070899, -327.7471291469293, -538554.9264865988, -486778.0758071076
257, 258, 278, 561, 57, 206, 207:	-258486.66544633053, -50.04457535321579, -388501.101804663, -114.89157098764642, 1499520.7941671342, -511083.04175746493, -341285.0490123348
208, 562, 259, 437, 279, 58, 207:	-354428.8181102539, -94.00885938991769, -201457.5959814202, -79.5220486496346, -547211.2688059607, 1451872.2262315056, -348601.0124258315
208, 209, 260, 438, 59, 591:	-228516.69036408034, -428518.789475162, -1000976.477716224, -113.81190279195093, 1658204.5916043138, -78.8221460555831
268, 211, 60, 212, 361:	-31.146078742515904, -68.57054405142455, 373.90875746206984, -95.10491757362759, -179.08721709450182
213, 580, 61, 214, 575:	-144640.2190075304, -352733.7311402153, 1440296.852611323, -209369.03388077632, -733553.868582801
214, 581, 62, 215:	-92040.04487738617, -1339017.1725156973, 1883908.624303413, -452851.4069103298
216, 217, 261, 262, 63:	-117.00231402675033, -78.29505151621731, -28.619855810365852, -155.33620215432106, 379.25342350765453
64, 263, 264, 217, 218, 411:	345.3354079124743, -92.81610351058447, -39.729969913033074, -84.53144055044818, -14.143782398131151, -114.11411154027743
65, 481, 218, 219, 412, 366:	336.743803758394, -85.64115906085723, -26.12692860588648, -27.066947545017893, -84.83436310434362, -113.07440544228879
401, 66, 276, 487, 220, 221:	-591755.722250426, 3183042.5138198724, -88448.26006107364, -1151871.1643166356, -596702.8988119239, -754264.4683798125
67, 470, 266, 395, 222, 223:	3250409.3914212342, -1150780.871463335, -20128.917430927642, -714854.1912522562, -651917.6791819339, -712727.7320927819
